Tag #,Site ,Disturbance_Level,Coral species,2014,2015a_pre,2015a_post,2015b,2015c,2016a,2016b,2017,2018,2019,2014,2015a_pre,2015a_post,2015b
195,38,LOW,Favia matthai,bleaching3_2018run,NA,NA,NA,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,NA
196,38,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,dead,NA,NA,NA,NA,1,NA,NA,NA
197,38,LOW,Porites lobata,bleaching2,NA,NA,NA,bleaching2,bleaching2,NA,NA,NA,NA,1,NA,NA,NA
198,38,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,NA
199,38,LOW,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
200_972_1336,38,LOW,Porites lobata,bleaching2,NA,NA,NA,bleaching2,bleaching2,NA,2017samples,sampled,sampled,1,NA,NA,NA
201,38,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,NA
202,38,LOW,Favia matthai,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,NA,NA,NA,1,NA,NA,NA
203,38,LOW,Porites lobata,FAIL_symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL_1,NA,NA,NA
204,38,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
205_1258_1332,38,LOW,Favites pentagona,platy,NA,NA,NA,platy,platy,NA,2017samples,sampled,sampled,1,NA,NA,NA
206_1331,38,LOW,Favia matthai,bleaching3_2018run,NA,NA,NA,NA,NA,NA,barely alive,NA,sampled,1,NA,NA,NA
206b,38,LOW,Favia matthai,NA,NA,NA,NA,bleaching3_2018run,NA,NA,NA,NA,NA,,,,
206c,38,LOW,Favia matthai,NA,NA,NA,NA,NA,NA,NA,NA,sampled,NA,,,,
207,38,LOW,Hydnophora microconos,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,NA,NA,NA,1,NA,NA,NA
208,38,LOW,Porites lobata,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,NA,1,NA,NA,NA
209,38,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,NA,NA,*Gone or Dead,1,NA,NA,NA
210,38,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,*Gone or Dead,1,NA,NA,NA
211,38,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,*Gone or Dead,1,NA,NA,NA
212,38,LOW,Hydnophora microconos,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
213_1333,38,LOW,Favites pentagona,platy,NA,NA,NA,platy,NA,NA,2017samples,sampled,sampled,1,NA,NA,NA
214,38,LOW,Favia sp,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,NA,1,NA,NA,NA
215,38,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
216,38,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,NA,NA,*Gone or Dead,1,NA,NA,NA
217,38,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,dead,1,NA,NA,NA
218,38,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,*Gone or Dead,1,NA,NA,NA
219,38,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,*Gone or Dead,1,NA,NA,NA
220,38,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,*Gone or Dead,1,NA,NA,NA
221,3,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
222,3,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
223,3,LOW,Platygyra sp,platy,NA,NA,NA,platy,NA,NA,2017samples,NA,dead,1,NA,NA,NA
224_1115,3,LOW,Favia sp,bleaching3_2018run,NA,NA,NA,bleaching3_2018run,NA,NA,2017samples,NA,sampled,1,NA,NA,NA
225,3,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,NA,1,NA,NA,NA
226,3,LOW,Hydnophora microconos,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
227_1145,3,LOW,Favia sp,bleaching3_2018run,NA,NA,NA,bleaching3_2018run,NA,NA,barely alive,NA,NA,1,NA,NA,NA
228,3,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,NA,1,NA,NA,NA
229,3,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
230,3,LOW,Porites lobata,FAIL_symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,2017samples,NA,NA,FAIL_1,NA,NA,NA
231,3,LOW,Favites pentagona,platy,NA,NA,NA,platy,NA,NA,2017samples,NA,NA,1,NA,NA,NA
232,3,LOW,Hydnophora microconos,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
233,3,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
234,3,LOW,Platygyra sp,platy,NA,NA,NA,platy,NA,NA,dead,NA,NA,1,NA,NA,NA
235,3,LOW,Porites lobata,FAIL_symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL_1,NA,NA,NA
236,3,LOW,Porites lobata,FAIL_symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,NA,FAIL_1,NA,NA,NA
237,3,LOW,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
238,3,LOW,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
239,3,LOW,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
240,3,LOW,Hydnophora microconos,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,NA,NA,NA,1,NA,NA,NA
241,8,MED,Porites lobata,symbio_micro,NA,NA,compartment,sampled,gone,dead or gone,NA,NA,NA,1,NA,NA,1
242,8,MED,Platygyra sp,platy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
243,8,MED,Favia matthai,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
244_1259,8,MED,Hydnophora microconos,symbio_micro,NA,NA,sampled,sampled,NA,NA,NA,NA,*barely alive,1,NA,NA,sampled
245,8,MED,Favites pentagona,platy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
246,8,MED,Favia sp,FAIL_symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL_1,NA,NA,NA
247,8,MED,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
248_696,8,MED,Platygyra sp,platy,NA,NA,platy,platy,platy,gone,NA,NA,NA,1,NA,NA,1
249,8,MED,Favites pentagona,platy,NA,NA,bleaching2,NA,NA,gone,NA,NA,NA,1,NA,NA,1
250,8,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
251,8,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
252,8,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
253,8,MED,Platygyra sp,platy,NA,platy,platy,platy,gone,NA,NA,NA,NA,1,NA,1,1
254,8,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
255,8,MED,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
256_697,8,MED,Montipora foliosa,symbio_micro,NA,NA,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
257,8,MED,Favia sp,FAIL_symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL_1,NA,NA,NA
258,27,VERYHIGH,Platygyra sp,platy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
259,27,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
260,27,VERYHIGH,Favia matthai,symbio_micro,NA,symbio_micro,sampled,sampled,gone,NA,NA,NA,NA,1,NA,1,sampled
261,27,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
262,27,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
263,27,VERYHIGH,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
264,27,VERYHIGH,Porites lobata,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,NA,1,NA,NA,NA
265,27,VERYHIGH,Montipora foliosa,compartment,NA,compartment,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
266,27,VERYHIGH,Platygyra sp,platy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
267,27,VERYHIGH,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
268,27,VERYHIGH,Favia matthai,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
269,27,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
270,27,VERYHIGH,Favia sp,FAIL_symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL_1,NA,NA,NA
271,27,VERYHIGH,Favites pentagona,platy,NA,platy,platy,platy,dead,NA,NA,NA,NA,1,NA,1,1
272,27,VERYHIGH,Favia matthai,symbio_micro,NA,symbio_micro,sampled,sampled,gone,NA,NA,NA,NA,1,NA,1,sampled
273,14,MED,Favites pentagona,platy,NA,NA,NA,NA,gone,NA,NA,NA,NA,1,NA,NA,NA
274,14,MED,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,gone,NA,NA,NA,NA,1,NA,NA,NA
275,14,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,sampled,gone,NA,NA,NA,NA,1,NA,NA,NA
276,14,MED,Porites lobata,FAIL_symbio_micro,NA,NA,NA,NA,barely alive,NA,NA,NA,NA,FAIL_1,NA,NA,NA
277,14,MED,Favia sp,FAIL_symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,FAIL_1,NA,NA,NA
278,14,MED,Platygyra sp,platy,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
279,14,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,dead,NA,NA,NA,NA,1,NA,NA,NA
280,14,MED,Porites lobata,FAIL_symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,FAIL_1,NA,NA,NA
281,14,MED,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
282,14,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
283,14,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
284,14,MED,Favia matthai,symbio_micro,NA,NA,NA,NA,dead,NA,NA,NA,NA,1,NA,NA,NA
285,14,MED,Favites pentagona,platy,NA,NA,NA,NA,platy,NA,NA,NA,NA,1,NA,NA,NA
286,14,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
287,14,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
288,14,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
289,14,MED,Platygyra sp,platy,NA,NA,NA,NA,platy,NA,NA,NA,NA,1,NA,NA,NA
290,14,MED,Favites halicora,bleaching3_2018run,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
291,14,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
292,14,MED,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
293,14,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
294,14,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
295,14,MED,Favia speciosa,sampled_skip_sp,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,sampled_skip_sp,NA,NA,NA
296,14,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
297,14,MED,Favia sp,symbio_micro,NA,NA,NA,NA,dead,NA,NA,NA,NA,1,NA,NA,NA
298,14,MED,Favites pentagona,platy,NA,NA,NA,NA,dead,NA,NA,NA,NA,1,NA,NA,NA
299,14,MED,Platygyra sp,platy,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
300,14,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
301,14,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
302,14,MED,Favites halicora,bleaching3_2018run,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
303,14,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
304,14,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
305,14,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
306,14,MED,Platygyra sp,platy,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
307,14,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
308,14,MED,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
309,14,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,dead or gone,NA,NA,NA,NA,1,NA,NA,NA
310,14,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,gone,NA,NA,NA,NA,1,NA,NA,NA
311,34,MED,Platygyra sp,platy,NA,NA,NA,NA,NA,gone,NA,NA,NA,1,NA,NA,NA
312,34,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
313,34,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
314_1088_1263,34,MED,Porites lobata,bleaching2,NA,NA,compartment,bleaching2,bleaching2,bleaching2,2017samples,sampled,sampled,1,NA,NA,1
315,34,MED,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,NA,dead,NA,NA,NA,1,NA,NA,NA
316,34,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,NA,1,NA,NA,NA
317_949,34,MED,Montipora foliosa,bleaching2,NA,NA,compartment,bleaching2,bleaching2,dead,NA,NA,NA,1,NA,NA,1
318,34,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,dead,1,NA,NA,NA
319,34,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
320,34,MED,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,NA,dead,NA,NA,NA,1,NA,NA,NA
321,34,MED,Porites lobata,FAIL_symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL_1,NA,NA,NA
322,34,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
323,34,MED,Hydnophora microconos,symbio_micro,NA,NA,compartment,bleaching3_2018run,barely alive,barely alive,barely alive,*Barely Alive,barely alive,1,NA,NA,1
324,34,MED,Montipora foliosa,bleaching2,NA,NA,compartment,bleaching2,bleaching2,dead,NA,NA,NA,1,NA,NA,1
325,34,MED,Porites lobata,symbio_micro,NA,NA,compartment,bleaching3_2018run,NA,dead,NA,NA,NA,1,NA,NA,1
326,34,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
327,34,MED,Porites lobata,FAIL_symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL_1,NA,NA,NA
328,34,MED,Platygyra sp,platy,NA,NA,platy,platy,platy,bleaching2,2017samples,NA,NA,1,NA,NA,1
329,34,MED,Montipora foliosa,symbio_micro,NA,NA,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
330,34,MED,Favia matthai,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
331,34,MED,Pocillopora eydouxi,symbio_micro,NA,NA,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
332,34,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
333,34,MED,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
334,34,MED,Favites pentagona,platy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
335,34,MED,Porites lobata,FAIL_symbio_micro,NA,NA,NA,NA,dead,NA,NA,NA,NA,FAIL_1,NA,NA,NA
336,34,MED,Pocillopora eydouxi,symbio_micro,NA,NA,compartment,sampled,gone,NA,NA,NA,NA,1,NA,NA,1
337,34,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
338_1168,34,MED,Platygyra sp,platy,NA,NA,NA,NA,NA,NA,barely alive,NA,dead,1,NA,NA,NA
339,34,MED,Favia sp,platy,NA,NA,platy,platy,platy,bleaching2,NA,NA,NA,1,NA,NA,1
340,34,MED,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
341,34,MED,Favites pentagona,platy,NA,NA,sampled,platy,gone,NA,NA,NA,NA,1,NA,NA,sampled
342,34,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
343,34,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
344,34,MED,Favia matthai,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
345,34,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
346,34,MED,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
347,34,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
348,34,MED,Favia sp,symbio_micro,NA,NA,compartment,sampled,gone,NA,NA,NA,NA,1,NA,NA,1
349,34,MED,Hydnophora microconos,symbio_micro,NA,NA,compartment,sampled,gone,NA,NA,NA,NA,1,NA,NA,1
350,34,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
351,34,MED,Platygyra sp,platy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
352,34,MED,Favites pentagona,platy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
353,34,MED,Platygyra sp,platy,NA,NA,platy,platy,gone,NA,NA,NA,NA,1,NA,NA,1
354_1439,34,MED,Porites lobata,bleaching2,NA,NA,compartment,bleaching2,bleaching2,bleaching2,2017samples,NA,sampled,1,NA,NA,1
355,34,MED,Pocillopora eydouxi,symbio_micro,NA,NA,compartment,sampled,NA,NA,NA,NA,NA,1,NA,NA,1
356,34,MED,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
357,34,MED,Montipora foliosa,symbio_micro,NA,NA,NA,sampled,gone,NA,NA,NA,NA,1,NA,NA,NA
358,34,MED,Porites lobata,symbio_micro,NA,NA,NA,NA,gone,NA,NA,NA,NA,1,NA,NA,NA
359,34,MED,Pocillopora eydouxi,symbio_micro,NA,NA,compartment,sampled,gone,NA,NA,NA,NA,1,NA,NA,1
360,34,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,dead,NA,NA,NA,NA,1,NA,NA,NA
361,34,MED,Porites lobata,bleaching2,NA,NA,compartment,NA,bleaching2,dead,NA,NA,NA,1,NA,NA,1
362,34,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
363,34,MED,Montipora foliosa,symbio_micro,NA,NA,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,1
364,34,MED,Porites lobata,bleaching2,NA,NA,NA,bleaching2,bleaching2,NA,NA,NA,NA,1,NA,NA,NA
365,34,MED,Pocillopora eydouxi,symbio_micro,NA,NA,NA,sampled,gone,NA,NA,NA,NA,1,NA,NA,NA
366,25,HIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
367,25,HIGH,Favia sp,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
368,25,HIGH,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
369,25,HIGH,Porites lobata,FAIL_symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL_1,NA,NA,NA
370,25,HIGH,Hydnophora microconos,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,NA,*Barely Alive or recruit,NA,1,NA,NA,NA
371,25,HIGH,Platygyra sp,platy,NA,NA,NA,NA,NA,NA,dead or gone,NA,NA,1,NA,NA,NA
372,25,HIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
373,25,HIGH,Favites pentagona,platy,NA,NA,NA,platy,NA,NA,NA,NA,NA,1,NA,NA,NA
374_891_1294,25,HIGH,Porites lobata,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,2017samples,sampled,sampled,1,NA,NA,NA
375,25,HIGH,Montipora foliosa,symbio_micro,NA,NA,NA,sampled,NA,NA,gone,NA,NA,1,NA,NA,NA
376,25,HIGH,Favites halicora,bleaching3_2018run,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
377,25,HIGH,Porites lobata,FAIL_symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL_1,NA,NA,NA
378,25,HIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
379,25,HIGH,Platygyra sp,platy,NA,NA,NA,platy,NA,NA,2017samples,sampled,NA,1,NA,NA,NA
380,25,HIGH,Montipora foliosa,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,NA,1,NA,NA,NA
381_1374,25,HIGH,Hydnophora microconos,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,barely alive,NA,dead,1,NA,NA,NA
382,25,HIGH,Favia sp,bleaching3_2018run,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
383_895,25,HIGH,Porites lobata,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,NA,1,NA,NA,NA
384,30,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
385,30,VERYHIGH,Montipora foliosa,compartment,NA,compartment,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,1,1
386_1302,30,VERYHIGH,Favites pentagona,platy,NA,platy,platy,platy,platy,bleaching2,2017samples,sampled,sampled,1,NA,1,1
387,30,VERYHIGH,Porites lobata,compartment,NA,compartment,compartment,sampled,gone,NA,NA,NA,NA,1,NA,1,1
388_1168,30,VERYHIGH,Favia sp,platy,NA,NA,platy,platy,platy,bleaching2,barely alive,NA,NA,1,NA,NA,1
389,30,VERYHIGH,Platygyra sp,platy,NA,NA,platy,NA,NA,NA,NA,NA,NA,1,NA,NA,1
390,25,HIGH,Montipora foliosa,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
391,25,HIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
392,25,HIGH,Porites lobata,FAIL_symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAIL_1,NA,NA,NA
393,25,HIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
394,25,HIGH,Montipora foliosa,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
395,25,HIGH,Favia matthai,FAIL_symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,gone,NA,NA,FAIL_1,NA,NA,NA
396,25,HIGH,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
397,25,HIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,NA,NA,NA,1,NA,NA,NA
398_894,25,HIGH,Hydnophora microconos,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
399,25,HIGH,Montipora foliosa,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
400_1102_1377,25,HIGH,Favites pentagona,platy,NA,NA,NA,platy,NA,NA,2017samples,sampled,sampled,1,NA,NA,NA
401,25,HIGH,Porites lobata,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
402,25,HIGH,Platygyra sp,platy,NA,NA,NA,platy,NA,NA,gone,NA,NA,1,NA,NA,NA
403,25,HIGH,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
404,25,HIGH,Favia matthai,bleaching3_2018run,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
405,25,HIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,dead,NA,NA,1,NA,NA,NA
406,25,HIGH,Hydnophora microconos,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
