otu sim del ins mis len score hit clade
denovo19689 denovo19689  98.94  0  0   3 283 1388.0 C42_AY258487 C
denovo291 denovo291  98.81  0  0   3 252 1233.0 A121_DQ174722 A
denovo22314 denovo22314  98.59  0  0   4 283 1379.0 C1233_EU118166 C
denovo24065 denovo24065  98.94  0  0   3 283 1388.0 C3_AB778606;C65a_AY589770;C1p_GU907652;C1.v1a_FJ919243 C
denovo15363 denovo15363  97.05  1  2   5 271 1119.5 D1_AF334660;D108_AF174567 D
denovo14347 denovo14347  99.65  0  0   1 287 1426.0 G100_AB253788 G
denovo7941 denovo7941  98.23  0  1   4 283 1363.5 C1_JN558041;C45.3_FJ461522 C
denovo36801 denovo36801  98.59  0  0   4 283 1379.0 C42_AY258487 C
denovo21722 denovo21722  99.65  0  0   1 283 1406.0 C42_AY258487 C
denovo16456 denovo16456 100.00  0  0   0 283 1415.0 C92_AM748560 C
denovo13036 denovo13036  99.66  0  0   1 294 1461.0 F5.2_AM748594 F
denovo17447 denovo17447  97.88  0  0   6 283 1361.0 C1005_DQ480633 C
denovo10523 denovo10523  94.12  1  3  11 255 1118.5 A112_AF184949 A
denovo1632 denovo1632  98.43  0  0   4 255 1239.0 A4_AF333509 A
denovo27970 denovo27970  97.53  0  0   7 283 1352.0 C3_AB778606;C50_AY589755 C
denovo23363 denovo23363  98.23  0  0   5 283 1370.0 C15_AY239369 C
denovo23367 denovo23367  98.23  0  1   4 283 1363.5 C1198_EU099810 C
denovo1578 denovo1578  98.94  0  0   3 283 1388.0 C1233_EU118166 C
denovo1573 denovo1573  99.65  1  0   0 282 1399.5 C3.1_JF683321 C
